坐標x,坐標y,調查日期（yyyymmdd）,物種類別（綱）,物種名稱（學名或中文名）,數量,調查者,鑑定者,調查法,不準度,其他
121.5880472,25.12475278,20191111,昆蟲綱,Pantala flavescens,1,高潁、林瑋原、黃瀚嶙、江曉倩,高潁、林瑋原、黃瀚嶙、江曉倩,定點調查、穿越線,50-100公尺,
121.5880472,25.12475278,20191111,昆蟲綱,Copera marginipes,1,高潁、林瑋原、黃瀚嶙、江曉倩,高潁、林瑋原、黃瀚嶙、江曉倩,定點調查、穿越線,50-100公尺,
121.5880472,25.12475278,20191111,昆蟲綱,Ceriagrion fallax fallax,2,高潁、林瑋原、黃瀚嶙、江曉倩,高潁、林瑋原、黃瀚嶙、江曉倩,定點調查、穿越線,50-100公尺,
121.584875,24.98454167,20191111,昆蟲綱,Euphaea formosa,8,高潁、林瑋原、黃瀚嶙、江曉倩,高潁、林瑋原、黃瀚嶙、江曉倩,定點調查、穿越線,50-100公尺,
121.584875,24.98454167,20191111,昆蟲綱,Trithemis aurora,33,高潁、林瑋原、黃瀚嶙、江曉倩,高潁、林瑋原、黃瀚嶙、江曉倩,定點調查、穿越線,50-100公尺,
121.584875,24.98454167,20191111,昆蟲綱,Matrona cyanoptera,12,高潁、林瑋原、黃瀚嶙、江曉倩,高潁、林瑋原、黃瀚嶙、江曉倩,定點調查、穿越線,50-100公尺,
121.584875,24.98454167,20191111,昆蟲綱,Neurothemis ramburii,37,高潁、林瑋原、黃瀚嶙、江曉倩,高潁、林瑋原、黃瀚嶙、江曉倩,定點調查、穿越線,50-100公尺,
121.584875,24.98454167,20191111,昆蟲綱,Heliocypha perforata perforata,6,高潁、林瑋原、黃瀚嶙、江曉倩,高潁、林瑋原、黃瀚嶙、江曉倩,定點調查、穿越線,50-100公尺,
121.584875,24.98454167,20191111,昆蟲綱,Pantala flavescens,3,高潁、林瑋原、黃瀚嶙、江曉倩,高潁、林瑋原、黃瀚嶙、江曉倩,定點調查、穿越線,50-100公尺,
121.584875,24.98454167,20191111,昆蟲綱,Copera marginipes,8,高潁、林瑋原、黃瀚嶙、江曉倩,高潁、林瑋原、黃瀚嶙、江曉倩,定點調查、穿越線,50-100公尺,
121.584875,24.98454167,20191111,昆蟲綱,Trithemis festiva,5,高潁、林瑋原、黃瀚嶙、江曉倩,高潁、林瑋原、黃瀚嶙、江曉倩,定點調查、穿越線,50-100公尺,
121.584875,24.98454167,20191111,昆蟲綱,Orthetrum pruinosum neglectum,1,高潁、林瑋原、黃瀚嶙、江曉倩,高潁、林瑋原、黃瀚嶙、江曉倩,定點調查、穿越線,50-100公尺,
121.584875,24.98454167,20191111,昆蟲綱,Pseudagrion pilidorsum pilidorsum,1,高潁、林瑋原、黃瀚嶙、江曉倩,高潁、林瑋原、黃瀚嶙、江曉倩,定點調查、穿越線,50-100公尺,
121.584875,24.98454167,20191111,昆蟲綱,Orthetrum triangulare,4,高潁、林瑋原、黃瀚嶙、江曉倩,高潁、林瑋原、黃瀚嶙、江曉倩,定點調查、穿越線,50-100公尺,
121.584875,24.98454167,20191111,昆蟲綱,Orthetrum sabina sabina,1,高潁、林瑋原、黃瀚嶙、江曉倩,高潁、林瑋原、黃瀚嶙、江曉倩,定點調查、穿越線,50-100公尺,
121.5720583,24.99164444,20191111,昆蟲綱,Orthetrum sabina sabina,6,高潁、林瑋原、黃瀚嶙、江曉倩,高潁、林瑋原、黃瀚嶙、江曉倩,定點調查、穿越線,50-100公尺,
121.5720583,24.99164444,20191111,昆蟲綱,Orthetrum glaucum,4,高潁、林瑋原、黃瀚嶙、江曉倩,高潁、林瑋原、黃瀚嶙、江曉倩,定點調查、穿越線,50-100公尺,
121.5720583,24.99164444,20191111,昆蟲綱,Crocothemis servilia servilia,1,高潁、林瑋原、黃瀚嶙、江曉倩,高潁、林瑋原、黃瀚嶙、江曉倩,定點調查、穿越線,50-100公尺,
121.5720583,24.99164444,20191111,昆蟲綱,Orthetrum pruinosum neglectum,1,高潁、林瑋原、黃瀚嶙、江曉倩,高潁、林瑋原、黃瀚嶙、江曉倩,定點調查、穿越線,50-100公尺,
121.5720583,24.99164444,20191111,昆蟲綱,Pantala flavescens,1,高潁、林瑋原、黃瀚嶙、江曉倩,高潁、林瑋原、黃瀚嶙、江曉倩,定點調查、穿越線,50-100公尺,
121.4703278,25.11546944,20191113,昆蟲綱,Ischnura senegalensis,2,高潁、林瑋原、黃瀚嶙、江曉倩,高潁、林瑋原、黃瀚嶙、江曉倩,定點調查、穿越線,50-100公尺,
121.4703278,25.11546944,20191113,昆蟲綱,Brachythemis contaminata,3,高潁、林瑋原、黃瀚嶙、江曉倩,高潁、林瑋原、黃瀚嶙、江曉倩,定點調查、穿越線,50-100公尺,
121.4703278,25.11546944,20191113,昆蟲綱,Anax guttatus,1,高潁、林瑋原、黃瀚嶙、江曉倩,高潁、林瑋原、黃瀚嶙、江曉倩,定點調查、穿越線,50-100公尺,
121.5148056,25.08617778,20190618,條鰭魚綱,Oreochromis niloticus,20,高潁、林瑋原、黃瀚嶙、江曉倩,高潁、林瑋原、黃瀚嶙、江曉倩,網捕法、電魚法,<25公尺,
121.5148056,25.08617778,20190618,條鰭魚綱,Gambusia affinis,30,高潁、林瑋原、黃瀚嶙、江曉倩,高潁、林瑋原、黃瀚嶙、江曉倩,網捕法、電魚法,<25公尺,
121.5148056,25.08617778,20190618,條鰭魚綱,Mugilogobius abei,15,高潁、林瑋原、黃瀚嶙、江曉倩,高潁、林瑋原、黃瀚嶙、江曉倩,網捕法、電魚法,<25公尺,
121.5148056,25.08617778,20190618,條鰭魚綱,Mugilogobius chulae,2,高潁、林瑋原、黃瀚嶙、江曉倩,高潁、林瑋原、黃瀚嶙、江曉倩,網捕法、電魚法,<25公尺,
121.5148056,25.08617778,20190618,條鰭魚綱,Oreochromis sp.,1,高潁、林瑋原、黃瀚嶙、江曉倩,高潁、林瑋原、黃瀚嶙、江曉倩,網捕法、電魚法,<25公尺,
121.5745083,25.11633611,20190618,條鰭魚綱,Varicorhinus barbatulus,13,高潁、林瑋原、黃瀚嶙、江曉倩,高潁、林瑋原、黃瀚嶙、江曉倩,網捕法、電魚法,<25公尺,
121.5745083,25.11633611,20190618,條鰭魚綱,Acrossocheilus paradoxus,5,高潁、林瑋原、黃瀚嶙、江曉倩,高潁、林瑋原、黃瀚嶙、江曉倩,網捕法、電魚法,<25公尺,
121.5745083,25.11633611,20190618,條鰭魚綱,Rhinogobius candidianus,7,高潁、林瑋原、黃瀚嶙、江曉倩,高潁、林瑋原、黃瀚嶙、江曉倩,網捕法、電魚法,<25公尺,
121.5880472,25.12475278,20190618,條鰭魚綱,Varicorhinus barbatulus,48,高潁、林瑋原、黃瀚嶙、江曉倩,高潁、林瑋原、黃瀚嶙、江曉倩,網捕法、電魚法,<25公尺,
121.5880472,25.12475278,20190618,條鰭魚綱,Acrossocheilus paradoxus,56,高潁、林瑋原、黃瀚嶙、江曉倩,高潁、林瑋原、黃瀚嶙、江曉倩,網捕法、電魚法,<25公尺,
121.5880472,25.12475278,20190618,條鰭魚綱,Candidia barbata,38,高潁、林瑋原、黃瀚嶙、江曉倩,高潁、林瑋原、黃瀚嶙、江曉倩,網捕法、電魚法,<25公尺,
121.5880472,25.12475278,20190618,條鰭魚綱,Rhinogobius candidianus,7,高潁、林瑋原、黃瀚嶙、江曉倩,高潁、林瑋原、黃瀚嶙、江曉倩,網捕法、電魚法,<25公尺,
121.5880472,25.12475278,20190618,條鰭魚綱,Opsariichthys pachycephalus ,11,高潁、林瑋原、黃瀚嶙、江曉倩,高潁、林瑋原、黃瀚嶙、江曉倩,網捕法、電魚法,<25公尺,
121.584875,24.98454167,20190618,條鰭魚綱,Varicorhinus barbatulus,11,高潁、林瑋原、黃瀚嶙、江曉倩,高潁、林瑋原、黃瀚嶙、江曉倩,網捕法、電魚法,<25公尺,
121.584875,24.98454167,20190618,條鰭魚綱,Acrossocheilus paradoxus,11,高潁、林瑋原、黃瀚嶙、江曉倩,高潁、林瑋原、黃瀚嶙、江曉倩,網捕法、電魚法,<25公尺,
121.584875,24.98454167,20190618,條鰭魚綱,Candidia barbata,50,高潁、林瑋原、黃瀚嶙、江曉倩,高潁、林瑋原、黃瀚嶙、江曉倩,網捕法、電魚法,<25公尺,
121.584875,24.98454167,20190618,條鰭魚綱,Opsariichthys pachycephalus ,37,高潁、林瑋原、黃瀚嶙、江曉倩,高潁、林瑋原、黃瀚嶙、江曉倩,網捕法、電魚法,<25公尺,
121.584875,24.98454167,20190618,條鰭魚綱,Oreochromis niloticus,12,高潁、林瑋原、黃瀚嶙、江曉倩,高潁、林瑋原、黃瀚嶙、江曉倩,網捕法、電魚法,<25公尺,
121.584875,24.98454167,20190618,條鰭魚綱,Tilapia zillii,13,高潁、林瑋原、黃瀚嶙、江曉倩,高潁、林瑋原、黃瀚嶙、江曉倩,網捕法、電魚法,<25公尺,
121.584875,24.98454167,20190618,條鰭魚綱,Geophagus brasiliensis,12,高潁、林瑋原、黃瀚嶙、江曉倩,高潁、林瑋原、黃瀚嶙、江曉倩,網捕法、電魚法,<25公尺,
121.584875,24.98454167,20190618,條鰭魚綱,Carassius auratus,7,高潁、林瑋原、黃瀚嶙、江曉倩,高潁、林瑋原、黃瀚嶙、江曉倩,網捕法、電魚法,<25公尺,
121.584875,24.98454167,20190618,條鰭魚綱,Cyprinus carpio carpio,3,高潁、林瑋原、黃瀚嶙、江曉倩,高潁、林瑋原、黃瀚嶙、江曉倩,網捕法、電魚法,<25公尺,
121.584875,24.98454167,20190618,條鰭魚綱,Carassius auratus auratus,1,高潁、林瑋原、黃瀚嶙、江曉倩,高潁、林瑋原、黃瀚嶙、江曉倩,網捕法、電魚法,<25公尺,
121.584875,24.98454167,20190618,條鰭魚綱,Hemibarbus labeo,1,高潁、林瑋原、黃瀚嶙、江曉倩,高潁、林瑋原、黃瀚嶙、江曉倩,網捕法、電魚法,<25公尺,
121.5720583,24.99164444,20190618,條鰭魚綱,Pterygoplichthys pardalis,8,高潁、林瑋原、黃瀚嶙、江曉倩,高潁、林瑋原、黃瀚嶙、江曉倩,網捕法、電魚法,<25公尺,
121.5720583,24.99164444,20190618,條鰭魚綱,Cyprinus carpio carpio,7,高潁、林瑋原、黃瀚嶙、江曉倩,高潁、林瑋原、黃瀚嶙、江曉倩,網捕法、電魚法,<25公尺,
121.5720583,24.99164444,20190618,條鰭魚綱,Oreochromis niloticus,76,高潁、林瑋原、黃瀚嶙、江曉倩,高潁、林瑋原、黃瀚嶙、江曉倩,網捕法、電魚法,<25公尺,
121.5720583,24.99164444,20190618,條鰭魚綱,Gambusia affinis,27,高潁、林瑋原、黃瀚嶙、江曉倩,高潁、林瑋原、黃瀚嶙、江曉倩,網捕法、電魚法,<25公尺,
121.5827361,25.05300556,20190618,條鰭魚綱,Mugil cephalus,175,高潁、林瑋原、黃瀚嶙、江曉倩,高潁、林瑋原、黃瀚嶙、江曉倩,網捕法、電魚法,<25公尺,
121.5827361,25.05300556,20190618,條鰭魚綱,Hypselecara temporalis,35,高潁、林瑋原、黃瀚嶙、江曉倩,高潁、林瑋原、黃瀚嶙、江曉倩,網捕法、電魚法,<25公尺,
121.5827361,25.05300556,20190618,條鰭魚綱,Channa striata,2,高潁、林瑋原、黃瀚嶙、江曉倩,高潁、林瑋原、黃瀚嶙、江曉倩,網捕法、電魚法,<25公尺,
121.5827361,25.05300556,20190618,條鰭魚綱,Distoechodon tumirostris,32,高潁、林瑋原、黃瀚嶙、江曉倩,高潁、林瑋原、黃瀚嶙、江曉倩,網捕法、電魚法,<25公尺,
121.5827361,25.05300556,20190618,條鰭魚綱,Aristichthys nobilis,10,高潁、林瑋原、黃瀚嶙、江曉倩,高潁、林瑋原、黃瀚嶙、江曉倩,網捕法、電魚法,<25公尺,
121.5827361,25.05300556,20190618,條鰭魚綱,Pterygoplichthys pardalis,8,高潁、林瑋原、黃瀚嶙、江曉倩,高潁、林瑋原、黃瀚嶙、江曉倩,網捕法、電魚法,<25公尺,
121.5827361,25.05300556,20190618,條鰭魚綱,Oreochromis niloticus,327,高潁、林瑋原、黃瀚嶙、江曉倩,高潁、林瑋原、黃瀚嶙、江曉倩,網捕法、電魚法,<25公尺,
121.5827361,25.05300556,20190618,條鰭魚綱,Tilapia zillii,7,高潁、林瑋原、黃瀚嶙、江曉倩,高潁、林瑋原、黃瀚嶙、江曉倩,網捕法、電魚法,<25公尺,
